IP Address,Device Label
10.8.2.110,PPHB-Tasik
10.8.2.224,ServerRack5 A5
10.8.2.85,FTMMMakmalInfosys
10.8.2.238,ServerRack3_1 C2
10.8.2.239,ServerRack5_1 A5
10.8.2.235,ServerRack7 A5
10.8.2.225,ServerRack3 C2
10.8.2.236,StagingRoom
10.8.2.249,ServerRack4 A5
10.8.2.227,ServerRack14 C2
10.8.2.233,ServerRack1_1 A5
10.8.2.251,ServerRack1 A5
10.8.2.234,ServerRack8-1 A5
10.8.2.248,ServerRack14_1 C2
10.8.2.217,A-PejAmPerwira2WifiAP
10.8.2.244,EMCRackA5
10.8.2.252,ServerRack2 A5
10.8.2.245,EMCRackC2
10.8.2.226,ServerRack2 C2
10.8.2.240,ServerRack4_1 A5
10.8.2.204,ServerRack3 A5
10.8.2.253,ServerRack8 A5
10.8.7.247,A5-WifiController-SvrRoom
10.8.7.246,FTMMFPTekFKAASWifiController
10.8.5.236,Aruba7220_Controller (Blok A5)
10.8.48.7,peplink uthm pumas
10.100.1.2,Aruba 1 pumas
10.100.1.4,Aruba 2 pumas
10.100.1.5,Aruba 3 pumas
10.100.0.2,Fw sangfor 1 pumas 
10.100.0.8,SW blok 5 -dewan makan pumas
10.100.0.3,CS-PUMAS
10.8.3.122,CCTV-LG-SW
10.8.3.126,CCTV-L2-SW
10.8.3.125,CCTV-L1-SW
10.8.3.124,CCTV-CORE-GF
10.8.3.121,FKEE-AS-GF-SW-ST
10.8.3.161,CCTV-L3-SW
10.8.3.200,CCTV-L4-SW
10.8.3.203,CCTV-L5-SW
10.8.3.236,CCTV-L6-SW
10.8.3.240,CCTV-L7-SW
10.8.3.246,AS-L1-SW2
10.8.3.63,AS-L2-SW
10.8.3.85,AS-L3-SW
10.8.3.94,AS-L4-SW
10.8.3.95,AS-L5-SW
10.8.3.96,AS-L6-SW
10.8.3.98,AS-L7-SW
10.8.3.241,AS-L1-SW
10.8.2.52,FSKTM_Mkml Infosys
10.60.29.6,AP 61 E6 
10.8.2.39,Aeronutik
10.8.3.26,C7-Kabin Mkml Sarjana
10.8.3.25,C8-Bilik Pensyarah
10.8.3.23,C14B-Pentas Koko
10.8.3.64,D13-Unit Awam PPP
10.8.3.60,E1-Mkml AMMC
10.8.2.74,E10-Mkml Mekanikal
10.8.3.54,E14-Bilik Kuliah
10.8.3.53,E15-Bilik Kuliah
10.8.3.188,G3E-FLOOR-2
10.8.3.99,FPTP-Mkml Automasi J002-A-Grd 
10.8.2.30,CAFE-1St Floor
10.8.2.29,CAFE-1St Floor POE Switch
10.8.2.27,HEPA-Switch1 2 unit
10.8.3.86,KK Perwira-Blok B POE
10.8.2.45,Blok D KKPerwira
10.8.2.40,Blok E KKPerwira
10.8.2.44,Blok C KKPerwira
10.8.2.21,RELASIS (10.8.2.21)
10.8.2.34,FKAAS-Mkml Kom3
10.8.2.2,A5-MIS ROOM
10.8.2.19,HEPA-MainSwitch
10.9.4.250,DS-KAMPUS BANDAR
192.168.240.140,Airwave 
192.168.240.165,Aruba Clearpass
161.139.246.154,SAN Switch
161.139.246.104,NET APP
161.139.246.227,PPP Helpdesk
161.139.246.70,Server RHEV (Management)
161.139.246.73,Server RHEV 3
161.139.246.72,Server RHEV 2
161.139.246.71,Server RHEV 1
161.139.240.217,VM06
161.139.246.114,VM05/FAMS
161.139.240.242,PKUCIS (eCLINIC)
161.139.246.132,KASEYA
161.139.240.61,ARUBA
161.139.240.5,VM05
161.139.246.231,SAN TAPE DRC
161.139.246.235,SAN DC DRC
161.139.246.102,My Locker
