name,ip_address,category,status,location,brand
E16 - Contorl Room 2,10.61.201.126,cctv,unknown,,
G4  PC TDI Siswa,10.62.8.21,cctv,unknown,,
G5 PC TF 1,10.62.8.46,cctv,unknown,,
TDI Siswa Border,10.62.8.48,cctv,unknown,,
G4/G5  Keluar/Masuk /  Dataran KKTF/KKTDI,10.62.8.49,cctv,unknown,,
TF- Foyer,10.62.8.50,cctv,unknown,,
G5  Keluar Masuk Pusat PPP,10.62.8.51,cctv,unknown,,
G5  Block C-D,10.62.8.52,cctv,unknown,,
TDI- Foyer,10.62.8.83,cctv,unknown,,
Library - Bookdrop,10.63.8.1,cctv,unknown,,
Library   - Lift Utama,10.63.8.2,cctv,unknown,,
Library - Tangga Keselamatan (Depan Bilik IT HUB),10.63.8.3,cctv,unknown,,
Library   - Bilik 24Jam,10.63.8.4,cctv,unknown,,
PTTA - Tangga Keselamatan Escape 5,10.63.8.5,cctv,unknown,,
Library   - Makmal Komputer PTM,10.63.8.6,cctv,unknown,,
Library  - Tangga Keselamatan Escape 6,10.63.8.7,cctv,unknown,,
Library   - Berhampiran Lift VIP,10.63.8.8,cctv,unknown,,
Library - Aras Bawah Tangga Keluar Lift Eksekutif,10.63.8.9,cctv,unknown,,
Library   - Lobby Lift Eksekutif,10.63.8.10,cctv,unknown,,
Library  - Garden,10.63.8.11,cctv,unknown,,
Anjung Barat - Dewan,10.63.8.12,cctv,unknown,,
Library - Tangga Keselamatan Escape 1,10.63.8.13,cctv,unknown,,
Library - Tangga Keselamatan Escape 2,10.63.8.14,cctv,unknown,,
Library   - Pintu Keluar Ke Lift Bomba,10.63.8.15,cctv,unknown,,
Library   - Kaunter Sirkulasi,10.63.8.16,cctv,unknown,,
Library   - Laluan ke Tandas Unit Pengindeksan,10.63.8.17,cctv,unknown,,
Library   - Pintu Keluar Utama,10.63.8.18,cctv,unknown,,
Library   - Lobby Pintu Masuk Utama,10.63.8.19,cctv,unknown,,
Library   - Pintu Masuk Utama,10.63.8.20,cctv,unknown,,
Library   - Pintu Keluar Masuk Utama,10.63.8.21,cctv,unknown,,
Library   - Bilik Beg Stor,10.63.8.22,cctv,unknown,,
Library   -Bilik 24jam (Lelaki),10.63.8.23,cctv,unknown,,
Library   - Perpustakaan Permata Hikmah,10.63.8.24,cctv,unknown,,
Library   - Bilik 24jam (Perempuan),10.63.8.25,cctv,unknown,,
Library   - Ruang Bacaan (Bilik Rujukan Tesis),10.63.8.26,cctv,unknown,,
Library   - Bilik 24 JAM Perempuan Sisi,10.63.8.27,cctv,unknown,,
Library   - Pintu Keluar Kiri Lift Eksekutif,10.63.8.28,cctv,unknown,,
Library  - Bilik Rujukan Tesis,10.63.8.29,cctv,unknown,,
Library   - Ruang Bacaan  Akhbar,10.63.8.30,cctv,unknown,,
Library   - Bilik Perkhidmatan,10.63.8.31,cctv,unknown,,
Library   - Bilik Pameran,10.63.8.32,cctv,unknown,,
Library   - Mesin Ploter,10.63.8.33,cctv,unknown,,
Library   - Unit Perolehan Serial,10.63.8.34,cctv,unknown,,
Library - Bilik Server Aras 2,10.63.8.35,cctv,unknown,,
Library   - Pintu Hadapan Pentadbiran,10.63.8.36,cctv,unknown,,
Library   - Berhampiran Tandas Lift,10.63.8.37,cctv,unknown,,
Library  - Ruang Bacaan Iqra  Aras 2,10.63.8.38,cctv,unknown,,
Pintu Keluar Lift Eksekutif Level 2,10.63.8.39,cctv,unknown,,
Library - Lift Eksekutif Kanan Aras 2,10.63.8.40,cctv,unknown,,
PTTA - Aras 1 Stor Perpustakaan,10.63.8.41,cctv,unknown,,
Library - Ruang Bacaan 1 Aras 2,10.63.8.42,cctv,unknown,,
Library - Ruang Bacaan 2 Aras 2,10.63.8.43,cctv,unknown,,
Library - Ruang Bacaan 3 Aras 2,10.63.8.44,cctv,unknown,,
Library   - Bilik Pencarian Maklumat,10.63.8.45,cctv,unknown,,
Library  - Hadapan Bilik Carian Maklumat,10.63.8.46,cctv,unknown,,
Library   - Bilik Seminar 1,10.63.8.47,cctv,unknown,,
Library - Ruang Bacaan 1 Aras 3,10.63.8.48,cctv,unknown,,
Library   - Ruang Bacaan 2 Aras 3,10.63.8.49,cctv,unknown,,
Library - Berhampiran Pintu Keluar Lift Eks Aras 3,10.63.8.50,cctv,unknown,,
Library - Bilik 24 Jam Lelaki sisi,10.63.8.51,cctv,unknown,,
Library - Lift Eksekutif Kiri Aras 3,10.63.8.52,cctv,unknown,,
Library   - Bilik Pasca Ijazah,10.63.8.53,cctv,unknown,,
